scenario_name,agent_id,strategy,final_score,final_q_values,full_q_values
ScaleFree_Pavlov_vs_QL,0,q_learning,515.0689655172407,"{'avg_cooperate': 2.383372878957628, 'avg_defect': 4.684589070170682}","{'initial': {'cooperate': 0.08275862068965517, 'defect': 0.0}, (1.0,): {'cooperate': 0.28795105578765473, 'defect': 0.17689300724436208}, (0.8,): {'cooperate': 1.4999831912604744, 'defect': 6.175173833303786}, (0.6,): {'cooperate': 2.441074477744659, 'defect': 6.562143460851832}, (0.4,): {'cooperate': 7.254414450824265, 'defect': 10.262203640807439}, (0.2,): {'cooperate': 2.734055477439061, 'defect': 4.931120478816669}}"
ScaleFree_Pavlov_vs_QL,1,q_learning,517.6896551724128,"{'avg_cooperate': 2.2219818483631797, 'avg_defect': 3.924597880762994}","{'initial': {'cooperate': 0.05172413793103449, 'defect': 0.0}, (1.0,): {'cooperate': 0.11255586206896553, 'defect': 0.0}, (0.8,): {'cooperate': 0.34892005122141534, 'defect': 1.7142154175487083}, (0.6,): {'cooperate': 0.4191332607904655, 'defect': 2.9137328993970293}, (0.4,): {'cooperate': 4.687703732798131, 'defect': 7.977004173181306}, (0.2,): {'cooperate': 7.711854045369066, 'defect': 10.94263479445092}}"
ScaleFree_Pavlov_vs_QL,2,q_learning,418.68965517241276,"{'avg_cooperate': 1.8394931355660262, 'avg_defect': 3.7935516313234197}","{'initial': {'cooperate': 0.041379310344827586, 'defect': 0.0}, (1.0,): {'cooperate': 0.08257655172413794, 'defect': 0.4094931310344828}, (0.8,): {'cooperate': 0.30039056430368605, 'defect': 0.2696181778865427}, (0.6,): {'cooperate': 1.8381413080822866, 'defect': 5.44474673744843}, (0.4,): {'cooperate': 5.024850459691052, 'defect': 7.599376227190762}, (0.2,): {'cooperate': 3.749620619250167, 'defect': 9.038075514380303}}"
ScaleFree_Pavlov_vs_QL,3,q_learning,702.3103448275857,"{'avg_cooperate': 3.202966318030107, 'avg_defect': 6.579553964728035}","{'initial': {'cooperate': 0.09310344827586209, 'defect': 0.0}, (1.0,): {'cooperate': 0.7760233606908464, 'defect': 0.19132370130369963}, (0.6,): {'cooperate': 2.5324407613399127, 'defect': 6.579909818748326}, (0.4,): {'cooperate': 3.78433645723064, 'defect': 9.84514282364962}, (0.8,): {'cooperate': 3.7978408189658404, 'defect': 8.382456175829061}, (0.2,): {'cooperate': 8.234053061677542, 'defect': 14.478491268837502}}"
ScaleFree_Pavlov_vs_QL,4,q_learning,524.931034482757,"{'avg_cooperate': 2.2606514744939066, 'avg_defect': 5.060890789042341}","{'initial': {'cooperate': 0.062068965517241385, 'defect': 0.0}, (1.0,): {'cooperate': 0.14738109305896552, 'defect': 1.272396490165828}, (0.6,): {'cooperate': 4.009972967647945, 'defect': 7.417040582996456}, (0.8,): {'cooperate': 1.091018619166191, 'defect': 4.128013365210008}, (0.4,): {'cooperate': 1.0279965052833968, 'defect': 5.861243087701847}, (0.2,): {'cooperate': 7.2254706962897, 'defect': 11.68665120817991}}"
ScaleFree_Pavlov_vs_QL,5,q_learning,468.3793103448262,"{'avg_cooperate': 2.403837302654873, 'avg_defect': 3.801700825696028}","{'initial': {'cooperate': 0.08275862068965517, 'defect': 0.0}, (0.8,): {'cooperate': 0.945366396115041, 'defect': 0.0}, (0.6,): {'cooperate': 1.7036450052529222, 'defect': 3.798136540986146}, (1.0,): {'cooperate': 0.062068965517241385, 'defect': 0.0}, (0.4,): {'cooperate': 3.4325811939594018, 'defect': 5.980422181194895}, (0.2,): {'cooperate': 8.196603634394975, 'defect': 13.031646231995126}}"
ScaleFree_Pavlov_vs_QL,6,q_learning,342.82758620689685,"{'avg_cooperate': 1.9461432846780158, 'avg_defect': 2.9368075540056338}","{'initial': {'cooperate': 0.0, 'defect': 0.16896551724137931}, (1.0,): {'cooperate': 0.20321183110661808, 'defect': 0.3599018756935518}, (0.4,): {'cooperate': 1.467233677850703, 'defect': 0.2604224813120187}, (0.8,): {'cooperate': 0.7077658063626568, 'defect': 1.490700119098138}, (0.2,): {'cooperate': 4.866469952879051, 'defect': 7.437574036776508}, (0.6,): {'cooperate': 4.432178439869067, 'defect': 7.9032812939122055}}"
ScaleFree_Pavlov_vs_QL,7,q_learning,499.8965517241357,"{'avg_cooperate': 2.360504129538809, 'avg_defect': 4.475498345637985}","{'initial': {'cooperate': 0.05172413793103449, 'defect': 0.0}, (1.0,): {'cooperate': 0.35610037502224434, 'defect': 0.0}, (0.8,): {'cooperate': 0.7816392360627125, 'defect': 3.067390882398233}, (0.6,): {'cooperate': 1.9915557324384414, 'defect': 5.780169709334017}, (0.4,): {'cooperate': 4.533185885469831, 'defect': 8.242966586809416}, (0.2,): {'cooperate': 6.44881941030859, 'defect': 9.762462895286243}}"
ScaleFree_Pavlov_vs_QL,8,q_learning,422.4482758620684,"{'avg_cooperate': 2.276195274238759, 'avg_defect': 4.922858488564455}","{'initial': {'cooperate': 0.0, 'defect': 0.1413793103448276}, (1.0,): {'cooperate': 0.20777552577453978, 'defect': 3.006191095731175}, (0.8,): {'cooperate': 2.536848804973367, 'defect': 6.764660019670015}, (0.4,): {'cooperate': 3.5110478286016544, 'defect': 6.132556847218705}, (0.2,): {'cooperate': 5.125304211844233, 'defect': 8.569505169857555}}"
ScaleFree_Pavlov_vs_QL,9,q_learning,448.3448275862061,"{'avg_cooperate': 2.6058468100676206, 'avg_defect': 4.539919115558041}","{'initial': {'cooperate': 0.031034482758620693, 'defect': 0.0}, (1.0,): {'cooperate': 0.42487342867766426, 'defect': 1.3791863673025189}, (0.8,): {'cooperate': 1.0710826416981076, 'defect': 3.6802668821204048}, (0.4,): {'cooperate': 5.717362197810555, 'defect': 8.8880447458207}, (0.2,): {'cooperate': 5.784881299393155, 'defect': 8.75209758254658}}"
ScaleFree_Pavlov_vs_QL,10,q_learning,499.41379310344615,"{'avg_cooperate': 1.8722248338672636, 'avg_defect': 4.4815874580311315}","{'initial': {'cooperate': 0.031034482758620693, 'defect': 0.0}, (0.8,): {'cooperate': 0.2485774976274641, 'defect': 1.736317512404661}, (0.6,): {'cooperate': 2.4009068833754146, 'defect': 8.034440913728535}, (1.0,): {'cooperate': 0.0, 'defect': 0.5979890185172414}, (0.4,): {'cooperate': 5.962221999158183, 'defect': 9.354871430330189}, (0.2,): {'cooperate': 2.5906081402838987, 'defect': 7.165905873206167}}"
ScaleFree_Pavlov_vs_QL,11,q_learning,413.9655172413789,"{'avg_cooperate': 2.800726472431262, 'avg_defect': 4.544204555316568}","{'initial': {'cooperate': 0.020689655172413793, 'defect': 0.0}, (1.0,): {'cooperate': 0.5099145331795577, 'defect': 0.3171612797646308}, (0.6,): {'cooperate': 5.480001407364886, 'defect': 8.875198877026893}, (0.2,): {'cooperate': 5.19230029400819, 'defect': 8.98445806447475}}"
