scenario_name,run_number,agent_id,strategy,final_score,final_q_values_avg,full_q_values
Pairwise_Optimistic_QLearn,6,0,q_learning,634.842105263157,"{'avg_cooperate': 10.091925722836871, 'avg_defect': 16.67830682633986}","{'initial': {'cooperate': 5.218421052631579, 'defect': 5}, (1.0,): {'cooperate': 18.648773250998627, 'defect': 30.522429843629826}, (0.8,): {'cooperate': 6.408582864880409, 'defect': 14.512490635389756}}"
Pairwise_Optimistic_QLearn,6,1,q_learning,380.5263157894737,"{'avg_cooperate': 10.01861233625519, 'avg_defect': 6.2677995540617735}","{'initial': {'cooperate': 5.218421052631579, 'defect': 5}, (1.0,): {'cooperate': 15.650630734571353, 'defect': 7.553230901981743}, (0.8,): {'cooperate': 13.986976505186249, 'defect': 7.517967314265351}, (0.6,): {'cooperate': 5.218421052631579, 'defect': 5}}"
Pairwise_Optimistic_QLearn,6,2,q_learning,599.9999999999992,"{'avg_cooperate': 8.91952514576681, 'avg_defect': 14.36337949451947}","{'initial': {'cooperate': 5.218421052631579, 'defect': 5}, (1.0,): {'cooperate': 11.590709717336768, 'defect': 31.59330442336833}, (0.8,): {'cooperate': 9.949444667332083, 'defect': 6.496834060190084}}"
Pairwise_Optimistic_QLearn,6,3,q_learning,382.1052631578948,"{'avg_cooperate': 11.675068061135098, 'avg_defect': 7.197101942777427}","{'initial': {'cooperate': 5.218421052631579, 'defect': 5}, (1.0,): {'cooperate': 15.522055259772369, 'defect': 7.657920218874455}, (0.8,): {'cooperate': 14.284727871001342, 'defect': 8.933385609457824}}"
Pairwise_Optimistic_QLearn,6,4,q_learning,386.5263157894738,"{'avg_cooperate': 9.930987882105232, 'avg_defect': 6.677834165627061}","{'initial': {'cooperate': 5, 'defect': 5.428947368421053}, (1.0,): {'cooperate': 15.473567643517748, 'defect': 7.162922781597947}, (0.8,): {'cooperate': 14.031962832271605, 'defect': 9.119466512489243}, (0.6,): {'cooperate': 5.218421052631579, 'defect': 5}}"
Pairwise_Optimistic_QLearn,6,5,q_learning,380.7368421052631,"{'avg_cooperate': 10.010421455072388, 'avg_defect': 6.591527037014068}","{'initial': {'cooperate': 5.218421052631579, 'defect': 5}, (1.0,): {'cooperate': 15.555605692211, 'defect': 8.008150866291677}, (0.8,): {'cooperate': 14.049238022815393, 'defect': 8.357957281764596}, (0.6,): {'cooperate': 5.218421052631579, 'defect': 5}}"
Pairwise_Optimistic_QLearn,6,6,q_learning,479.47368421052596,"{'avg_cooperate': 9.342446236873217, 'avg_defect': 11.2709983866576}","{'initial': {'cooperate': 5.218421052631579, 'defect': 5}, (1.0,): {'cooperate': 16.68172064919059, 'defect': 7.49152051584556}, (0.8,): {'cooperate': 6.127197008797479, 'defect': 21.32147464412724}}"
Pairwise_Optimistic_QLearn,6,7,q_learning,378.3157894736842,"{'avg_cooperate': 10.067406509344112, 'avg_defect': 6.357181256245234}","{'initial': {'cooperate': 5.218421052631579, 'defect': 5}, (1.0,): {'cooperate': 15.431699770249347, 'defect': 8.145263338034166}, (0.8,): {'cooperate': 14.401084161863949, 'defect': 7.2834616869467705}, (0.6,): {'cooperate': 5.218421052631579, 'defect': 5}}"
Pairwise_Optimistic_QLearn,6,8,q_learning,386.5263157894738,"{'avg_cooperate': 9.934233268019524, 'avg_defect': 6.863086286268667}","{'initial': {'cooperate': 5, 'defect': 5.428947368421053}, (1.0,): {'cooperate': 15.461781110201057, 'defect': 9.424744670346744}, (0.8,): {'cooperate': 14.056730909245458, 'defect': 7.5986531063068705}, (0.6,): {'cooperate': 5.218421052631579, 'defect': 5}}"
Pairwise_Optimistic_QLearn,6,9,q_learning,382.42105263157896,"{'avg_cooperate': 10.014580102203581, 'avg_defect': 6.512648812763737}","{'initial': {'cooperate': 5.218421052631579, 'defect': 5}, (1.0,): {'cooperate': 15.267970138953554, 'defect': 9.750747231118183}, (0.8,): {'cooperate': 14.353508164597613, 'defect': 6.299848019936765}, (0.6,): {'cooperate': 5.218421052631579, 'defect': 5}}"
